id,inquiry_id,design_description,inspirational_styles,trims,embellishment,embellishment_other_information,care_label,label_options,main_label_option,care_label_option,other_label,additional_information,created_at,updated_at
17,738,CORE BABY TEE (Shrunk Aesthetic),https://www.marcjacobs.com/default/hydnellum-baby-tee/P605P68SP22.html?dwvar_P605P68SP22_color=177&dwvar_P605P68SP22_size=XS&gclid=CjwKCAjwzeqVBhAoEiwAOrEmzRHYHblIcUB6AINPKgAHDwQ35nPfkkcdGciSOqfRUZGIOudZw0r7gxoCa8AQAvD_BwE&gclsrc=aw.ds,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-28 22:36:30,2022-06-28 22:36:30
18,739,CRAZY BABY TEE WITH CONTRAST BINDING,,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-28 23:07:08,2022-06-28 23:07:08
19,750,CRAZY NOTSO LONGSLEEVE WITH CONTRAST BINDING,,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 15:14:45,2022-06-29 15:14:45
20,740,BOOMERANG POLO WITH CONTRAST BINDING DETAILS,https://www.ssense.com/en-gb/women/product/paolina-russo/black-polyester-polo/9158291,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 15:35:51,2022-06-29 15:35:51
21,751,OFF THE CUFF LONGSLEEVE POLO SHIRT,,NA,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 15:49:39,2022-06-29 15:49:39
22,748,FURBY CARDIGAN WITH A SHRUNK FIT AND FABRIC COVERED BUTTONS,https://www.ln-cc.com/en/men/clothing/tops/balenciaga-logo-motif-cropped-top-in-brown-bal0149011brn.html,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 16:54:03,2022-06-29 16:54:03
23,747,FURBY SKIRT WITH HAIRY/ MOHAIR-LIKE TEXTURE AND ELASTIC WAISTBAND AND SIDE SLIT,https://selfridges-stacka-prd65.adobecqms.net/TW/zh/cat/pangaia-high-waisted-organic-cotton-mini-skirt_R03752059/,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 17:27:33,2022-06-29 17:27:33
24,741,FURBY TOP,https://www.ln-cc.com/en/men/clothing/knitwear/acne-studios-loose-threads-sleeveless-sweater-in-blue-acn0148006den.html,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 20:23:27,2022-06-29 20:23:27
25,742,CARGO PANTS WITH BAGGY FIT AND WIDE LEG,,TBC,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-29 20:42:03,2022-06-29 20:42:03
26,770,"Designs has to be Slim-fit
And Straight-Fit

Also worth of note is that these African fabrics are not elastic at all so attention must be given to the fact that they do not stretch al all.",,,Yes,,I will supply labels,,NaN,NaN,,,2022-07-12 16:20:01,2022-07-12 18:31:29
27,734,"The design would be a high waist brief, cut high on the leg with a french cut appearance from the front, but with fuller butt coverage on the back. The waistband will be 3cm and made without elastic and ideally we would like our logo either sewn in or printed onto this waistband at the back.

I'm more or less happy with the style that we have used for previous prototypes (which I will be sending to you), although I'm also very happy for any suggestions that may make it sit better/look better.

For the seams around the leg - I'd love to know what our options are. Comfort, practicality and sustainability would be the defining factors here.","In shape, something like this: https://www.victoriassecret.co.uk/style/ls303429/K07410#K07410

In the waistband, like this: https://hu-ha.com/products/boxer?variant=39776405323862",N/A,"The only embellishment would be. the addition of our logo on the waistband, which I am open to suggestions on the best way to do this.",,Chanodil need to develop,,2,3,,"Care label should say ""This underwear holds a history and a story. It has passed through many human hands. From the farm to the fabric, we are dedicated to reducing our environmental and social impact, so we kindly ask you to do the same. Take care of it and make it last!

- hand wash when possible
-line dry
- mend when torn'",2022-08-08 14:24:33,2022-08-08 14:24:33
28,795,testing design description,www.google.com,testing Trims,Testing embellishment,,Seamless Source need to develop,,2,1,,,2022-08-31 13:25:55,2022-08-31 13:25:55
29,800,"a multi functional hoodie that could be worn in different seasons. 

the hoodie itself is connected via 5 zippers, two on the hands and one on the hood.  

when unzipped, the hoodie turns into a pullover, a T-shirt and a tank top.",,NA,"as per the tech-pack I provided, you can reference three different patches on hood, sleeves and bottom front. 

sleeve: Normalise kindness 
bottom front: "" The beauty of destitution is chastity and the beauty of the riches is gratefulness""","the text on the back of the hood would be "" Whining Whale"" with company logo.",Seamless Source need to develop,,1,3,if possible to include a barcode with a link to the people who created the garments.,"I would like the woven label to to have a quote and size instead of brand name and should say ""We're not so different"" + size at the bottom in a small font.",2022-10-10 14:20:03,2022-10-10 14:20:03
30,833,testing design information,,,,,1,,3,3,,,2022-11-03 06:58:45,2022-11-03 06:58:45
31,840,A simple design,,,,,1,,1,2,,,2022-12-14 14:43:50,2022-12-14 14:43:50
